fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
182158,LL,40,1.099503,-26.7722,1.127371,-145.2527,1.090641,96.2176,8.5721,-53.4112,8.5002,-173.3719,8.5415,67.0261
182158,3LG,0,0.832465,-35.9553,0.834576,-155.8066,0.832359,84.1641,9.4073,-63.7293,9.4348,176.2587,9.4194,56.1198
182158,3LG,10,1.090867,-28.5818,1.093386,-148.2843,1.087944,91.5528,8.4135,-56.3756,8.4331,-176.3812,8.4226,63.5062
182158,3LG,20,1.102099,-26.7793,1.103414,-146.481,1.098656,93.2941,8.4953,-54.5943,8.5156,-174.5959,8.5053,65.2865
182158,3LG,30,1.104876,-26.0967,1.105823,-145.809,1.101471,93.9528,8.5157,-53.9237,8.5362,-173.9236,8.526,65.957
182158,3LG,40,1.106018,-25.7401,1.106809,-145.4593,1.102678,94.2978,8.5242,-53.5736,8.5448,-173.5726,8.5347,66.3071
182162,SLG,0,0.781246,-36.706,1.340723,-145.5998,1.048204,106.4297,8.5462,-52.6314,8.8987,-170.7658,8.9724,66.3701
182162,SLG,10,1.121161,-32.3092,1.155046,-140.8425,1.023768,95.7682,8.4451,-54.8526,8.4105,-172.8082,8.6869,66.3655
182162,SLG,20,1.128355,-28.4984,1.123501,-142.2494,1.0627,94.9355,8.4857,-53.9883,8.4496,-172.6667,8.6363,66.8781
182162,SLG,30,1.124623,-27.1982,1.1167,-142.8958,1.07698,94.9889,8.5134,-53.5053,8.4878,-172.6327,8.6125,67.0776
182162,SLG,40,1.121655,-26.545,1.113956,-143.2435,1.08416,95.0536,8.524,-53.2523,8.5069,-172.6026,8.5989,67.171
182162,LL,0,0.832209,-32.1938,0.828104,-158.1933,1.236942,99.53,9.2278,-59.2284,8.7476,-176.3266,9.388,64.7234
182162,LL,10,1.042325,-30.7579,1.159472,-149.6415,1.086383,99.3302,8.6186,-55.5565,8.3287,-175.5951,8.4724,66.1227
182162,LL,20,1.082016,-28.8856,1.147421,-146.4814,1.079077,97.381,8.587,-54.3123,8.4268,-174.2858,8.5115,66.6351
182162,LL,30,1.094583,-27.59,1.135344,-145.6292,1.085136,96.6101,8.5802,-53.7413,8.4763,-173.7076,8.533,66.8797
182162,LL,40,1.099559,-26.8843,1.128802,-145.2558,1.089303,96.2581,8.574,-53.4379,8.4994,-173.4067,8.541,67.011
182162,3LG,0,0.852789,-35.3787,0.855079,-155.2079,0.852482,84.7492,9.7282,-63.1434,9.7579,176.8451,9.7414,56.6999
182162,3LG,10,1.09041,-28.6561,1.093045,-148.3581,1.087534,91.4843,8.4104,-56.4477,8.43,-176.4535,8.4195,63.434
182162,3LG,20,1.102129,-26.8417,1.103494,-146.5392,1.098635,93.2362,8.4955,-54.6537,8.5158,-174.6555,8.5055,65.2271
182162,3LG,30,1.104991,-26.1439,1.105954,-145.8528,1.101533,93.908,8.5165,-53.9689,8.537,-173.9689,8.5268,65.9117
182162,3LG,40,1.106146,-25.7776,1.106941,-145.4941,1.102759,94.2619,8.5251,-53.6096,8.5457,-173.6087,8.5355,66.271
