Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S15X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S16X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S17X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S18X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S19X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S20X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S21X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S22X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S23X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S24X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"X_1001524", 0.208, 1,    113.559,  -70.1,   0.94562, 2,    113.685,  170.0,   0.94667, 3,    113.786,   49.9,   0.94751
"S1X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S2X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S3X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S4X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S5X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S6X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S7X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S8X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S9X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S10X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S11X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"S12X_1001524", 0.208, 1,    113.426,  -70.1,   0.94452, 2,    113.563,  170.0,   0.94566, 3,    113.669,   49.9,   0.94654
"X_1001525", 0.208, 1,    113.556,  -70.1,    0.9456, 2,    113.682,  170.0,   0.94665, 3,    113.783,   49.9,   0.94749
"S1X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S2X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S3X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S4X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S5X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S6X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S7X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S8X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S9X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S10X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S11X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S12X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S13X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S14X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S15X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S16X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S17X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S18X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S19X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S20X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S21X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S22X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S23X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"S24X_1001525", 0.208, 1,    113.489,  -70.1,   0.94505, 2,    113.621,  170.0,   0.94614, 3,    113.724,   49.9,     0.947
"X_1001214", 0.4157, 2,    229.693, -159.2,   0.95704, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"S6X_1001214", 0.4157, 2,    229.029, -159.1,   0.95427, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001216", 0.4157, 2,    229.704, -159.2,   0.95708, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
"S6X_1001216", 0.4157, 2,     229.04, -159.1,   0.95431, 0, 0, 0, 0, 0, 0, 0, 0
