SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,Base_Min_pu,Fault_Min_pu,Delta_pu,Confirmed_Fault_Outage
SM_256,1000531-DA9,S9X_1000531.1,S9X_1000531,1,0.24,0.95797,0.00088963,-0.95708037,True
SM_257,1000531-DA10,S10X_1000531.1,S10X_1000531,1,0.24,0.95797,0.00088963,-0.95708037,True
SM_258,1000531-DA11,S11X_1000531.1,S11X_1000531,1,0.24,0.95797,0.00088963,-0.95708037,True
SM_259,1000533-DA1,S1X_1000533.1,S1X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_260,1000533-DA2,S2X_1000533.1,S2X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_261,1000533-DA3,S3X_1000533.1,S3X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_262,1000533-DA4,S4X_1000533.1,S4X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_263,1000533-DA5,S5X_1000533.1,S5X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_264,1000533-DA6,S6X_1000533.1,S6X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_265,1000533-DA7,S7X_1000533.1,S7X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_266,1000533-DA8,S8X_1000533.1,S8X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_267,1000533-DA9,S9X_1000533.1,S9X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_268,1000533-DA10,S10X_1000533.1,S10X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_269,1000533-DA11,S11X_1000533.1,S11X_1000533,1,0.24,0.95795,0.00088961,-0.95706039,True
SM_270,1000532-DA1,S1X_1000532.1,S1X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_271,1000532-DA2,S2X_1000532.1,S2X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_272,1000532-DA3,S3X_1000532.1,S3X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_273,1000532-DA4,S4X_1000532.1,S4X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_274,1000532-DA5,S5X_1000532.1,S5X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_275,1000532-DA6,S6X_1000532.1,S6X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_276,1000532-DA7,S7X_1000532.1,S7X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_277,1000532-DA8,S8X_1000532.1,S8X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_278,1000532-DA9,S9X_1000532.1,S9X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_279,1000532-DA10,S10X_1000532.1,S10X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_280,1000532-DA11,S11X_1000532.1,S11X_1000532,1,0.24,0.95714,0.00088885,-0.95625115,True
SM_281,1000582-DA1,S1X_1000582.1,S1X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_282,1000582-DA2,S2X_1000582.1,S2X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_283,1000582-DA3,S3X_1000582.1,S3X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_284,1000582-DA4,S4X_1000582.1,S4X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_285,1000582-DA5,S5X_1000582.1,S5X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_286,1000582-DA6,S6X_1000582.1,S6X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_287,1000582-DA7,S7X_1000582.1,S7X_1000582,1,0.24,0.95718,0.00088889,-0.95629111,True
SM_288,1000581-DA1,S1X_1000581.1,S1X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_289,1000581-DA2,S2X_1000581.1,S2X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_290,1000581-DA3,S3X_1000581.1,S3X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_291,1000581-DA4,S4X_1000581.1,S4X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_292,1000581-DA5,S5X_1000581.1,S5X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_293,1000581-DA6,S6X_1000581.1,S6X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_294,1000581-DA7,S7X_1000581.1,S7X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_295,1000581-DA8,S8X_1000581.1,S8X_1000581,1,0.24,0.95727,0.0011938,-0.9560762,True
SM_296,1000537-DA1,S1X_1000537.1,S1X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_297,1000537-DA2,S2X_1000537.1,S2X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_298,1000537-DA3,S3X_1000537.1,S3X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_299,1000537-DA4,S4X_1000537.1,S4X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_300,1000537-DA5,S5X_1000537.1,S5X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_301,1000537-DA6,S6X_1000537.1,S6X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_302,1000537-DA7,S7X_1000537.1,S7X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_303,1000537-DA8,S8X_1000537.1,S8X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_304,1000537-DA9,S9X_1000537.1,S9X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_305,1000537-DA10,S10X_1000537.1,S10X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_306,1000537-DA11,S11X_1000537.1,S11X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_307,1000537-DA12,S12X_1000537.1,S12X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_308,1000537-DA13,S13X_1000537.1,S13X_1000537,1,0.24,0.95808,0.0011948,-0.9568852,True
SM_309,1000536-DA1,S1X_1000536.1,S1X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_310,1000536-DA2,S2X_1000536.1,S2X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
SM_311,1000536-DA3,S3X_1000536.1,S3X_1000536,1,0.24,0.95714,0.0011936,-0.9559464,True
