fault_id,fault_type,fault_bus,zone,impedance_type,r_ground,r_phase,load_level,time_of_day,cap_CP_NR_613,cap_CP_85W_900,converged,RFI1,RFI2,RFI3,RFI4,RFI5,RFI6,RFI7,RFI8,RFI9,RFI10,RFI11,RFI12,RFI13,RFI14,RFI15,RFI16,RFI17,RFI18,RFI19,RFI20,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,SM_8,SM_9,SM_10,SM_11,SM_12,SM_13,SM_14,SM_15,SM_16,SM_17,SM_18,SM_19,SM_20,SM_21,SM_22,SM_23,SM_24,SM_25,SM_26,SM_27,SM_28,SM_29,SM_30,SM_31,SM_32,SM_33,SM_34,SM_35,SM_36,SM_37,SM_38,SM_39,SM_40,SM_41,SM_42,SM_43,SM_44,SM_45,SM_46,SM_47,SM_48,SM_49,SM_50
F1099,SLG_B,283567,15,dry_grass,288.0,,0.5,morning,False,False,True,1175.2376690140848,1181.57203418111,1117.862065424684,823.7685368988289,834.2440556880141,22.30204974922299,18.830360179757847,337.2290662497509,194.18797711077755,198.2624240881354,127.23219007451588,60.93610662890441,66.22824090597213,62.2832565561897,45.76362479633102,20.27976617585708,118.73966085230464,53.63775041331815,165.2218185070338,8.337375254309519e-08,0.9886494517053408,0.9884490572448588,0.9882016889242742,0.9943000341550544,0.9916342368456814,0.9936228268726556,0.9920352565549124,0.982616642403318,0.9856393457331272,0.9829671956240328,0.9828323018890882,0.9951296165145752,0.9959146766225496,0.9951431083104884,0.9966708610843682,0.9960237658442016,0.9975763494994636,0.997448751233927,,,0.9836480292757772,0.9860755910545532,0.97931514485173,,0.9882824231072772,0.9869038307979656,0.9771989512352084,0.9764893144062372,0.9760530125003688,0.9915078703178344,0.9903262438431664,0.9898073142866314,0.9920460453692872,,0.9879835466716158,0.9984186867185648,0.9698696657577164,0.9709863894085344,0.9669859953617704,0.9921136618867662,0.992338534051343,0.9943930342161575,0.9955971116387036,0.9974450428777866,0.9959867023681348,0.992999524487766,0.9965307888774124,0.9983848278733546,0.99289410013887,0.9965540944227518
F1100,SLG_C,165465,14,wet_grass,144.0,,0.2,overnight,False,False,True,1286.9997758800462,1291.8439960228152,1220.6886324411348,885.96335605918,891.7934466924687,9.119273992156618,7.436936330815269,334.99544371224937,195.87103872383608,198.15174586820095,130.04413142158077,63.40482884892197,66.42202622864428,67.37433838186074,9.154060159671335,8.063677530434965,129.30872933101193,61.52187537705909,186.24624444657007,8.673187759050465e-08,1.0208346101454342,1.0214589488708774,1.0213193486506658,1.0246703984169598,1.027386972871431,1.0264937041156106,,1.0201728088624982,1.0222953761946911,,1.027648237934965,1.027057159079332,1.0285860924807029,1.0296899238352184,1.0305770063827957,1.0296572868709966,1.0300214599935715,,1.0277646946226235,1.0305579394212363,1.0220246788187983,1.0239074775513648,1.0218890413972797,1.022718439253395,1.0215568566670368,1.0240550015724252,1.0181568570714756,1.0173651244527966,1.0150423979514973,1.0251488045965171,1.0298259290880083,1.024067061166759,,1.0242988698698334,1.02771125519746,1.033172020434634,1.0217767514741138,1.0216788789884488,1.02267908534731,1.032560661829202,,,,1.032906024653244,1.0326532889165931,1.0343540851224753,1.0316389522764964,1.0316090507225866,1.03219401636577,1.03278216974632
F1101,LLG_ACG,182158,12,wet_grass,144.0,2.0,1.0,peak,True,True,True,2136.609267099245,2139.4463478689663,2142.3245546576386,2097.431714286106,2069.557136506304,41.91906728028295,37.39059728262049,2002.249815961512,2055.9679414334905,2061.215784254109,2059.489564277153,2064.050979818359,66.6265180788878,57.31479077079466,46.26500941563615,41.45762448717125,108.77901416923758,43.51759717130116,151.13394299597724,7.808481707942433e-08,0.8555054823431826,,0.8545649268960748,0.8248762125688507,0.9256154538739932,,0.92134928822932,0.772565075631153,0.772015203491998,0.7725234729617279,,0.7452251247891573,0.7490427990804792,0.7466526729500033,0.9293367232164104,0.9315862621904404,0.928443659965668,0.9236336618773314,0.9256509866536614,0.9258842818822656,,0.771347198854989,0.7706918458405273,0.7855205605316744,0.7847707139671211,0.7831201652527099,0.7508201326706756,,0.7520199231495256,0.786399639404602,0.7890550983990816,,0.7878165113489197,0.7871903925409819,0.7894785125995123,,0.7153465026121134,0.7162027202086811,0.7141030699252905,0.7602858540966869,0.7597532805209358,0.7601148217673707,0.7714382360989878,0.7726411557765489,0.7698582528385668,,,0.773008101281746,,0.7729920164561405
F1102,SLG_B,182007,9,wet_grass,144.0,,0.75,afternoon,False,True,True,1073.8308646273194,1071.0234011359353,1004.5036847889068,712.1515511578757,734.2695282526928,32.42463384106211,27.76566234268389,331.28378419715267,187.80946213178967,192.26956117336312,122.78760023927222,58.20679132482465,66.26359977288901,58.05333177756609,32.939816184059666,29.976658880108054,111.72446210282185,47.5590940333718,147.12966464693,8.124391909520967e-08,,0.9638837389036756,0.9627725698656298,0.9707196448859902,0.9672881752476126,0.9702294214119568,0.9664359911804564,0.955505476173462,,,0.9559753913033852,0.9725138804570091,0.9709051799412596,0.9695797945301756,0.9725547913202104,0.9706690955994568,0.972257031060392,,,0.968116655486515,0.9534882940188888,0.9497913087973668,0.9518512061027582,0.9581992432240118,0.9607087332217557,0.959377511213721,0.9410344207697476,0.9386924961938148,0.9409694138724424,0.9641987542728242,0.9624699982871502,0.9639193129919774,0.9608012735599925,0.9632042348905836,0.9636066628171522,0.9725920624260552,0.9334238596034888,0.9328308409324902,0.9347886830056868,0.9632854527153096,0.963939809734884,0.96409778415113,0.9701674600983828,,0.9661035359135904,0.9720780971225504,,0.9680656510762032,0.971102704916734,0.9707244281701466
F1103,SLG_A,165469,3,wet_grass,144.0,,0.5,morning,False,False,True,1195.942388557811,1198.7890396109906,1124.8268509371042,815.3228634778695,828.5138955415539,22.102389266221596,18.787724181865045,337.75608421315394,194.5492479635792,198.4672864543396,127.98261857359982,61.04806854174947,66.46297484785364,62.896820753904926,22.109708581449567,20.29854909442312,119.16795709511597,53.351771863476735,166.6290398415835,8.383904607511427e-08,0.9869468817076702,0.9879289988555342,0.9854897458049312,0.9908419810761988,0.9919289863555706,0.9947514225912084,,0.979868847688218,0.9803223211377128,0.98124283217054,0.9868480760279456,0.9891585756933734,0.992798116706472,0.9921306362129396,0.997322766895971,,0.9965487352161736,0.9958483512682604,0.99728357552757,0.995964179780777,0.981551584600736,0.9830903064411104,0.979612941923326,0.9882762325502996,0.9850415195787032,0.9862770772290428,0.972717424888232,0.974769134581991,0.9725531822747576,0.9871065572736794,0.9860425860345776,,0.9877134415083214,0.9888364424508574,0.9894888342846938,0.9946666577151234,0.9714810416750334,0.9703899339465744,0.9672314976509894,0.9919365041306796,0.9921562579098128,0.9929552252381052,0.991421099448195,0.9981603428982456,0.9947307061611288,,,,0.9958033339756068,0.9951923096379202
F1104,SLG_A,181978,16,dry_grass,288.0,,0.75,afternoon,False,False,True,1134.6540204307298,1135.15919429142,1064.139456784586,769.7971391275953,782.0346861573074,55.95987120697169,27.84621352500329,344.418873618471,193.6531776239277,198.0636458486977,126.57733786552966,58.85031289045414,66.60845452682904,58.73436194299382,32.71860086387745,51.5002088823762,112.45373476730066,47.96820323727013,152.0764302134753,8.139936913602759e-08,0.9557000637064228,0.9568827401537152,0.9573782436006156,0.9638762650898812,,0.9666718326655582,0.9625177614702808,,0.9480851710852044,0.948497013257322,,0.9636904544630858,0.9671644968665544,0.964993939420684,0.9650078145689108,0.9641089567821108,,0.9685718213712516,0.9654155812129372,0.9670940666677816,0.9441378067110066,0.9485578749015822,0.9484251768842484,0.9519150906919784,0.9493242106307492,0.9538024184891282,0.9397790131622812,0.9364971522966514,,0.9568620075345228,0.954514703044776,0.9558677827588844,0.9592308865566308,0.9561122955081284,0.9556502901652222,0.9647503773468332,0.926194371451284,0.924612658650593,0.9278704193480728,,0.9570419857666788,0.9590253992992892,0.9626953208391352,0.9639465858060334,0.9608980369720528,0.9594750609909736,,0.960089139311773,0.961210192154782,0.959128401921878
F1105,SLG_C,189962,5,dry_grass,288.0,,0.5,morning,False,False,True,1199.1548676433288,1194.8880508572086,1122.8954423728806,815.5113401716591,828.6011950160479,22.19184834283121,18.863331370765373,336.19860863127354,193.46752039304445,197.34673204012248,127.7259104853391,60.58526212348363,66.17597073274433,61.97402423327072,22.098992826056453,20.351001287206024,120.14329994599844,53.90871584554598,165.2638121087565,8.318838053367715e-08,,0.9883808644568144,0.9866125670231548,0.99044912637612,0.9926012263362404,0.991497164909412,0.990494483457556,0.9820337635529224,,0.981804541286059,0.9876186260949844,0.9949046953698648,0.9952999395812884,0.9924355646526608,0.9954329574332847,0.9937349318773429,0.9963253487426617,0.9949065278601834,0.992641420236417,0.9951104989000478,0.9814411378334266,0.9856560134366708,0.9837570643967604,,0.9868711337455972,0.9879185246105756,,,0.9767133270521562,0.9899379866859632,0.988034516306784,0.9937533547206506,0.985514548308522,0.9889806471634084,0.9893210636635972,0.9966602131892732,0.9684676019947538,0.9697289223378944,0.9693763123791784,0.9936922056038194,0.9934083387454912,0.9924875334052444,0.9928554125223856,0.9947306252266462,0.9939409854099068,0.9970780173018964,0.9939833954425398,0.9948251047620452,0.9958449143301756,0.9953115699269568
F1106,SLG_A,152566,5,dry_grass,288.0,,1.0,peak,True,True,True,1020.1828786816722,1028.493584749477,953.2790507620364,680.1438402106427,696.727567912064,42.8515709207268,36.92499827800731,336.6474743357469,189.1914736956116,196.9511069405984,123.22946995113608,55.74946150571322,66.2447772766175,54.769659878782925,43.31359262613274,39.647944813907344,104.81845854642638,42.52664390493985,137.9665901954485,7.938400521781007e-08,0.9299515245033524,0.9297792877568892,0.9321069991228048,0.9423208515402128,0.9406983273119712,0.9432948625146682,0.9357109836237572,,0.9207494289907796,0.9183907714603654,0.9214143714910248,0.9460922926752564,0.9399509913441668,,0.946540057647806,0.945295459373588,0.9442940533050448,0.9457214045217512,0.944870559680452,0.9463378345916822,0.922223049410256,0.9229281584864288,,0.9298965857490396,0.9271238845607924,,0.9045396011598028,0.9042491598651624,0.9026744800111308,,,0.9312985380202308,0.9324235184405496,0.9325037909840672,0.9329551679917032,0.9399453237119288,0.8899179098274785,0.8911438659626214,,0.9316826973951168,0.9300440351416306,0.9277772113492696,0.9379016177291992,0.938252721809848,0.938325302739749,0.937651374350167,0.936570261439098,0.934546023128898,0.93724740204155,0.9382597021964196
F1107,LL_CA,283955,4,arc,,2.0,0.2,overnight,False,False,True,4089.2735506296262,4099.642024592767,4137.675875242336,4190.895440356644,914.024629302209,10.030299461827155,8.811217459705297,342.14282363234526,201.23895492726209,201.90375764054264,132.79675373551817,65.46105000928796,68.42127140881824,67.32291304663323,10.1931287362294,9.49590842674235,129.97925082803553,62.55138450294784,187.69514682843723,8.700207474659304e-08,0.8800884753277479,0.8799962982816646,0.8812235799262595,0.8074302631552885,1.02415110592255,1.0381978014673117,1.0268846700430547,0.7833304361160122,0.7894425327882375,0.7876608421661021,,0.6482113028624207,0.6464794782250518,0.646116080325256,1.0322998295158632,1.0323700347005242,1.0336944513373116,1.0463424098093648,,,0.786698814711288,0.7870832625982433,0.7851211814374932,,0.7857186866884662,0.7869196262729432,0.786762914895891,0.7866948200559697,0.7856864552993306,0.7877727211303123,0.7907067072968721,0.7922672598410962,0.7932643810309719,0.7905387024687119,0.7908708989707045,0.6183004352411496,0.7470520859672914,0.7470578405301299,0.7496591252431656,0.7555699543708092,0.7545646846935974,0.7549884675998199,0.7589228595400344,0.7584377884655494,0.7585794585590425,0.7619660582056712,0.7588865406886782,0.7597805811832956,0.7598299769857964,0.7581687234885401
F1108,SLG_A,165463,14,dry_grass,288.0,,0.2,overnight,False,False,True,1290.3913364746738,1287.6066730374434,1222.2135476031851,884.7264835882006,893.9704067798219,9.152597490181876,7.448211592212556,336.7850807336508,196.6138266020548,198.481517163536,130.4382211163983,63.92334219733892,66.3360510269242,66.75519367185481,9.1862253952959,8.047308083225207,128.33799229209447,60.93939879781836,186.72596396902108,8.683694310756608e-08,,1.0236802097185025,,1.0245776243531663,1.0217743223946745,,1.025763438477499,1.0218057002296177,1.022616937970519,1.0267198172057226,1.0256631061830956,,1.025701391595153,1.0289082654038797,,1.0292993260154233,1.0312457649662778,1.027615502188063,1.029386800527746,1.0286573607720455,1.0225996605725336,1.0246760869196367,1.0267243752448594,1.0244722532643278,1.0248154703165575,1.025169520937455,,1.0201703342998063,1.0225380567445048,1.0286468686299948,1.0268343917683054,,1.0251866833305054,1.0295003057420804,,1.0326426552927352,1.0229311547613658,1.0212554453880849,1.021486119384549,1.0320816709666474,1.0314954662118925,1.0325978494325092,1.032896048177976,1.0329529829932462,1.0315908321699525,1.0307058743476505,1.0329297822804682,1.0337829640673553,1.0341168745800724,1.0317235290186797
F1109,SLG_A,182153,12,dry_grass,288.0,,1.0,peak,True,True,True,1012.411821919782,1018.481029714702,948.4335223422412,672.4781399849228,690.1997134582972,42.65236643503693,36.78890115357476,323.13646619396525,177.98439024391118,185.01396881860876,114.34544445621049,54.22851049431482,67.46658240825363,54.82796522935792,43.10961662637755,39.707507646342485,105.31761148725197,42.98174063601496,137.51714727974047,7.961302100668982e-08,,0.9315044961699256,0.9293924837940716,0.9383703500325268,0.9419078023966224,0.9401823684739404,0.9372236955751472,0.9206290506446704,0.916788902488052,0.9229292737120628,0.9213267085356696,0.942782010767668,0.943315266173792,0.9399246342654476,0.946172314521612,0.944091924426084,0.9442437397530936,0.9471028676605784,0.9419867959219764,0.9427544031092184,0.9211886840577356,0.9198920005401724,0.9179253958015392,0.9289858808015956,0.927275448700369,0.9260462761609802,0.903265046846978,,,0.929903806728305,0.9313896450349732,0.9325333240548483,0.9324655197043872,0.9317471656626364,0.9327991331341108,0.9409634122422836,0.8878429282654338,0.8907126290981836,,0.9301100170605184,0.9323923092542564,0.9289395721224754,0.936599838370938,0.9383528080102118,0.939571678309798,0.9367487811867184,0.9360134028649558,0.9389673690530892,0.9345452655069136,0.9370056186295715
