zone,scenario_label,n_dg_buses,n_faults,avg_max_rfi_A,avg_sm_outages_below_0.5pu
9,DG_48pct,96,12,5570.89,566.67
9,DG_4pct,8,12,4294.19,414.75
9,DG_50pct,100,12,5602.87,574.83
9,DG_6pct,12,12,4467.06,414.83
9,DG_8pct,16,12,4535.1,414.25
10,DG_10pct,20,12,4274.69,397.17
10,DG_12pct,24,12,4325.66,396.75
10,DG_14pct,28,12,4369.95,395.42
10,DG_16pct,32,12,4404.58,394.33
10,DG_18pct,36,12,4407.81,395.92
10,DG_20pct,40,12,4440.24,396.92
10,DG_22pct,44,12,4546.75,400.42
10,DG_24pct,48,12,4668.82,404.92
10,DG_26pct,52,12,4783.37,418.92
10,DG_28pct,56,12,4868.39,436.25
10,DG_2pct,4,12,3769.12,402.33
10,DG_30pct,60,12,4944.11,444.83
10,DG_32pct,64,12,5031.39,444.42
10,DG_34pct,68,12,5110.32,478.83
10,DG_36pct,72,12,5187.81,509.92
10,DG_38pct,76,12,5227.04,515.42
10,DG_40pct,80,12,5270.25,522.33
10,DG_42pct,84,12,5318.82,529.58
10,DG_44pct,88,12,5338.84,533.33
10,DG_46pct,92,12,5353.04,537.5
10,DG_48pct,96,12,5375.81,547.42
10,DG_4pct,8,12,4001.34,400.67
10,DG_50pct,100,12,5405.65,551.58
10,DG_6pct,12,12,4151.79,400.42
10,DG_8pct,16,12,4215.88,398.67
11,DG_10pct,20,12,4067.74,387.0
11,DG_12pct,24,12,4183.3,387.0
11,DG_14pct,28,12,4268.51,387.0
11,DG_16pct,32,12,4295.52,387.0
11,DG_18pct,36,12,4261.07,390.0
11,DG_20pct,40,12,4265.67,391.0
11,DG_22pct,44,12,4351.46,397.0
11,DG_24pct,48,12,4473.63,397.0
11,DG_26pct,52,12,4584.59,399.25
11,DG_28pct,56,12,4697.77,401.75
11,DG_2pct,4,12,3443.15,387.75
11,DG_30pct,60,12,4799.9,427.0
11,DG_32pct,64,12,4890.9,428.5
11,DG_34pct,68,12,4993.81,436.0
11,DG_36pct,72,12,5075.66,436.75
11,DG_38pct,76,12,5139.56,438.83
11,DG_40pct,80,12,5209.46,453.92
11,DG_42pct,84,12,5278.45,454.67
11,DG_44pct,88,12,5319.49,454.75
11,DG_46pct,92,12,5355.06,467.0
11,DG_48pct,96,12,5401.56,468.42
11,DG_4pct,8,12,3634.22,387.0
11,DG_50pct,100,12,5434.55,467.08
11,DG_6pct,12,12,3877.12,387.0
11,DG_8pct,16,12,3928.73,387.0
12,DG_10pct,20,12,3620.13,368.42
12,DG_12pct,24,12,3711.04,362.17
12,DG_14pct,28,12,3780.26,350.08
12,DG_16pct,32,12,3809.1,349.67
12,DG_18pct,36,12,3790.47,357.83
12,DG_20pct,40,12,3828.74,348.58
12,DG_22pct,44,12,3951.2,341.42
12,DG_24pct,48,12,4071.51,343.58
12,DG_26pct,52,12,4177.4,344.83
12,DG_28pct,56,12,4285.59,346.0
12,DG_2pct,4,12,3094.84,387.0
12,DG_30pct,60,12,4380.89,362.58
12,DG_32pct,64,12,4469.83,365.25
12,DG_34pct,68,12,4564.75,357.5
12,DG_36pct,72,12,4647.75,350.92
12,DG_38pct,76,12,4708.35,349.33
12,DG_40pct,80,12,4773.15,337.58
12,DG_42pct,84,12,4835.32,322.67
12,DG_44pct,88,12,4870.91,325.17
12,DG_46pct,92,12,4902.83,328.33
12,DG_48pct,96,12,4944.18,326.58
12,DG_4pct,8,12,3249.37,381.42
12,DG_50pct,100,12,4975.14,327.67
12,DG_6pct,12,12,3459.56,377.58
12,DG_8pct,16,12,3509.19,371.17
13,DG_10pct,20,12,3168.8,243.33
13,DG_12pct,24,12,3222.59,218.25
13,DG_14pct,28,12,3266.4,206.33
13,DG_16pct,32,12,3288.48,198.08
13,DG_18pct,36,12,3430.81,193.42
13,DG_20pct,40,12,3558.28,193.17
13,DG_22pct,44,12,3669.33,191.17
13,DG_24pct,48,12,3785.98,177.0
13,DG_26pct,52,12,3905.71,177.5
13,DG_28pct,56,12,4030.54,167.25
13,DG_2pct,4,12,2702.48,331.67
13,DG_30pct,60,12,4117.49,147.17
13,DG_32pct,64,12,4205.0,146.33
13,DG_34pct,68,12,4291.24,148.58
13,DG_36pct,72,12,4377.24,159.67
13,DG_38pct,76,12,4459.34,175.92
13,DG_40pct,80,12,4521.21,175.67
13,DG_42pct,84,12,4574.88,175.67
13,DG_44pct,88,12,4603.81,153.67
13,DG_46pct,92,12,4622.35,155.25
13,DG_48pct,96,12,4677.04,154.5
13,DG_4pct,8,12,2790.99,261.83
13,DG_50pct,100,12,4728.9,155.5
13,DG_6pct,12,12,2953.16,255.92
13,DG_8pct,16,12,3103.83,248.75
14,DG_10pct,20,12,3069.78,162.92
14,DG_12pct,24,12,3113.67,162.0
14,DG_14pct,28,12,3151.56,161.33
14,DG_16pct,32,12,3171.58,148.33
14,DG_18pct,36,12,3275.22,148.25
14,DG_20pct,40,12,3378.41,145.08
14,DG_22pct,44,12,3497.23,106.25
14,DG_24pct,48,12,3612.11,102.25
14,DG_26pct,52,12,3727.05,99.08
14,DG_28pct,56,12,3845.82,99.08
14,DG_2pct,4,12,2545.52,252.25
14,DG_30pct,60,12,3958.33,99.17
14,DG_32pct,64,12,4044.69,102.92
14,DG_34pct,68,12,4126.99,105.92
14,DG_36pct,72,12,4212.84,105.0
14,DG_38pct,76,12,4302.96,127.33
14,DG_40pct,80,12,4400.25,128.83
14,DG_42pct,84,12,4495.38,130.83
14,DG_44pct,88,12,4548.11,132.83
14,DG_46pct,92,12,4561.72,134.33
14,DG_48pct,96,12,4638.07,135.33
14,DG_4pct,8,12,2615.71,210.33
14,DG_50pct,100,12,4742.27,136.33
14,DG_6pct,12,12,2899.73,183.5
14,DG_8pct,16,12,3017.63,181.92
15,DG_10pct,20,12,7282.23,472.83
15,DG_12pct,24,12,7368.42,458.67
15,DG_14pct,28,12,7408.16,458.25
15,DG_16pct,32,12,7500.25,456.08
15,DG_18pct,36,12,7534.71,455.25
15,DG_20pct,40,12,7543.76,455.17
15,DG_22pct,44,12,7572.7,456.0
15,DG_24pct,48,12,7588.49,457.42
15,DG_26pct,52,12,7588.52,505.42
15,DG_28pct,56,12,7577.23,507.67
15,DG_2pct,4,12,6740.39,573.67
15,DG_30pct,60,12,7556.45,513.17
15,DG_32pct,64,12,7565.04,527.67
15,DG_34pct,68,12,7561.97,528.67
15,DG_36pct,72,12,7507.06,530.17
15,DG_38pct,76,12,7417.97,530.17
15,DG_40pct,80,12,7396.79,533.92
15,DG_42pct,84,12,7362.6,536.33
15,DG_44pct,88,12,7326.05,539.92
15,DG_46pct,92,12,7298.74,544.67
15,DG_48pct,96,12,7291.55,563.0
15,DG_4pct,8,12,6929.38,573.67
15,DG_50pct,100,12,7307.1,574.0
15,DG_6pct,12,12,7046.81,529.25
15,DG_8pct,16,12,7172.72,509.67
16,DG_10pct,20,12,8474.36,570.67
16,DG_12pct,24,12,8599.53,552.17
16,DG_14pct,28,12,8658.72,546.0
16,DG_16pct,32,12,8795.43,538.5
16,DG_18pct,36,12,8857.09,525.25
16,DG_20pct,40,12,8888.84,574.25
16,DG_22pct,44,12,8948.22,573.58
16,DG_24pct,48,12,8992.42,571.92
16,DG_26pct,52,12,9054.34,572.17
16,DG_28pct,56,12,9063.61,569.42
16,DG_2pct,4,12,7706.22,573.92
16,DG_30pct,60,12,9071.66,571.17
16,DG_32pct,64,12,9111.91,569.0
16,DG_34pct,68,12,9085.79,589.58
16,DG_36pct,72,12,9053.2,584.0
16,DG_38pct,76,12,8983.62,587.33
16,DG_40pct,80,12,8983.64,587.75
16,DG_42pct,84,12,8928.69,590.17
16,DG_44pct,88,12,8842.28,633.08
16,DG_46pct,92,12,8760.16,642.08
16,DG_48pct,96,12,8680.5,642.25
16,DG_4pct,8,12,7970.61,573.92
16,DG_50pct,100,12,8599.71,653.42
16,DG_6pct,12,12,8138.78,573.92
16,DG_8pct,16,12,8301.23,571.83
17,DG_10pct,20,12,5595.75,429.67
17,DG_12pct,24,12,5675.28,429.5
17,DG_14pct,28,12,5752.03,430.5
17,DG_16pct,32,12,5845.83,430.25
17,DG_18pct,36,12,5914.32,433.0
17,DG_20pct,40,12,6014.1,440.75
17,DG_22pct,44,12,6112.04,446.0
17,DG_24pct,48,12,6208.5,477.5
17,DG_26pct,52,12,6268.19,521.75
17,DG_28pct,56,12,6336.4,537.33
17,DG_2pct,4,12,4847.84,498.08
17,DG_30pct,60,12,6394.34,537.33
17,DG_32pct,64,12,6497.92,537.33
17,DG_34pct,68,12,6538.48,537.33
17,DG_36pct,72,12,6646.31,537.58
17,DG_38pct,76,12,6639.48,539.83
17,DG_40pct,80,12,6689.18,539.83
17,DG_42pct,84,12,6746.91,539.83
17,DG_44pct,88,12,6801.24,541.5
17,DG_46pct,92,12,6823.66,620.58
17,DG_48pct,96,12,6853.07,621.67
17,DG_4pct,8,12,5145.28,440.08
17,DG_50pct,100,12,6912.53,622.33
17,DG_6pct,12,12,5423.67,439.08
17,DG_8pct,16,12,5502.01,438.42
18,DG_10pct,20,12,4550.1,404.08
18,DG_12pct,24,12,4612.96,403.92
