SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,kW,pf,xfkVA
SM_164,1000600-DC6,S6X_1000600.3,S6X_1000600,1,0.24,0.0001,0.9,5.555555
SM_165,1000600-DC7,S7X_1000600.3,S7X_1000600,1,0.24,0.0001,0.9,5.555555
SM_166,1000600-DC8,S8X_1000600.3,S8X_1000600,1,0.24,0.0001,0.9,5.555555
SM_167,1000600-DC9,S9X_1000600.3,S9X_1000600,1,0.24,0.0001,0.9,5.555555
SM_168,1000602-DC1,S1X_1000602.3,S1X_1000602,1,0.24,0.0001,0.9,6.25
SM_169,1000602-DC2,S2X_1000602.3,S2X_1000602,1,0.24,0.0001,0.9,6.25
SM_170,1000602-DC3,S3X_1000602.3,S3X_1000602,1,0.24,0.0001,0.9,6.25
SM_171,1000602-DC4,S4X_1000602.3,S4X_1000602,1,0.24,0.0001,0.9,6.25
SM_172,1000602-DC5,S5X_1000602.3,S5X_1000602,1,0.24,0.0001,0.9,6.25
SM_173,1000602-DC6,S6X_1000602.3,S6X_1000602,1,0.24,0.0001,0.9,6.25
SM_174,1000602-DC7,S7X_1000602.3,S7X_1000602,1,0.24,0.0001,0.9,6.25
SM_175,1000602-DC8,S8X_1000602.3,S8X_1000602,1,0.24,0.0001,0.9,6.25
SM_176,1000601-DC1,S1X_1000601.3,S1X_1000601,1,0.24,0.0001,0.9,6.25
SM_177,1000601-DC2,S2X_1000601.3,S2X_1000601,1,0.24,0.0001,0.9,6.25
SM_178,1000601-DC3,S3X_1000601.3,S3X_1000601,1,0.24,0.0001,0.9,6.25
SM_179,1000601-DC4,S4X_1000601.3,S4X_1000601,1,0.24,0.0001,0.9,6.25
SM_180,1000601-DC5,S5X_1000601.3,S5X_1000601,1,0.24,0.0001,0.9,6.25
SM_181,1000601-DC6,S6X_1000601.3,S6X_1000601,1,0.24,0.0001,0.9,6.25
SM_182,1000601-DC7,S7X_1000601.3,S7X_1000601,1,0.24,0.0001,0.9,6.25
SM_183,1000601-DC8,S8X_1000601.3,S8X_1000601,1,0.24,0.0001,0.9,6.25
SM_184,1000603-DB1,S1X_1000603.2,S1X_1000603,1,0.24,0.0001,0.9,10.71429
SM_185,1000603-DB2,S2X_1000603.2,S2X_1000603,1,0.24,0.0001,0.9,10.71429
SM_186,1000603-DB3,S3X_1000603.2,S3X_1000603,1,0.24,0.0001,0.9,10.71429
SM_187,1000603-DB4,S4X_1000603.2,S4X_1000603,1,0.24,0.0001,0.9,10.71429
SM_188,1000603-DB5,S5X_1000603.2,S5X_1000603,1,0.24,0.0001,0.9,10.71429
SM_189,1000603-DB6,S6X_1000603.2,S6X_1000603,1,0.24,0.0001,0.9,10.71429
SM_190,1000603-DB7,S7X_1000603.2,S7X_1000603,1,0.24,0.0001,0.9,10.71429
SM_191,1000604-DB1,S1X_1000604.2,S1X_1000604,1,0.24,0.0001,0.9,5
SM_192,1000604-DB2,S2X_1000604.2,S2X_1000604,1,0.24,0.0001,0.9,5
SM_193,1000604-DB3,S3X_1000604.2,S3X_1000604,1,0.24,0.0001,0.9,5
SM_194,1000604-DB4,S4X_1000604.2,S4X_1000604,1,0.24,0.0001,0.9,5
SM_195,1000604-DB5,S5X_1000604.2,S5X_1000604,1,0.24,0.0001,0.9,5
SM_196,1000604-DB6,S6X_1000604.2,S6X_1000604,1,0.24,0.0001,0.9,5
SM_197,1000604-DB7,S7X_1000604.2,S7X_1000604,1,0.24,0.0001,0.9,5
SM_198,1000604-DB8,S8X_1000604.2,S8X_1000604,1,0.24,0.0001,0.9,5
SM_199,1000604-DB9,S9X_1000604.2,S9X_1000604,1,0.24,0.0001,0.9,5
SM_200,1000604-DB10,S10X_1000604.2,S10X_1000604,1,0.24,0.0001,0.9,5
SM_201,1000604-DB11,S11X_1000604.2,S11X_1000604,1,0.24,0.0001,0.9,5
SM_202,1000604-DB12,S12X_1000604.2,S12X_1000604,1,0.24,0.0001,0.9,5
SM_203,1000604-DB13,S13X_1000604.2,S13X_1000604,1,0.24,0.0001,0.9,5
SM_204,1000604-DB14,S14X_1000604.2,S14X_1000604,1,0.24,0.0001,0.9,5
SM_205,1000604-DB15,S15X_1000604.2,S15X_1000604,1,0.24,0.0001,0.9,5
SM_206,1000605-DB1,S1X_1000605.2,S1X_1000605,1,0.24,0.0001,0.9,9.090909
SM_207,1000605-DB2,S2X_1000605.2,S2X_1000605,1,0.24,0.0001,0.9,9.090909
SM_208,1000605-DB3,S3X_1000605.2,S3X_1000605,1,0.24,0.0001,0.9,9.090909
SM_209,1000605-DB4,S4X_1000605.2,S4X_1000605,1,0.24,0.0001,0.9,9.090909
SM_210,1000605-DB5,S5X_1000605.2,S5X_1000605,1,0.24,0.0001,0.9,9.090909
SM_211,1000605-DB6,S6X_1000605.2,S6X_1000605,1,0.24,0.0001,0.9,9.090909
SM_212,1000605-DB7,S7X_1000605.2,S7X_1000605,1,0.24,0.0001,0.9,9.090909
SM_213,1000605-DB8,S8X_1000605.2,S8X_1000605,1,0.24,0.0001,0.9,9.090909
SM_214,1000605-DB9,S9X_1000605.2,S9X_1000605,1,0.24,0.0001,0.9,9.090909
SM_215,1000605-DB10,S10X_1000605.2,S10X_1000605,1,0.24,0.0001,0.9,9.090909
SM_216,1000605-DB11,S11X_1000605.2,S11X_1000605,1,0.24,0.0001,0.9,9.090909
SM_217,1000606-DB1,S1X_1000606.2,S1X_1000606,1,0.24,0.0001,0.9,6.25
SM_218,1000606-DB2,S2X_1000606.2,S2X_1000606,1,0.24,0.0001,0.9,6.25
SM_219,1000606-DB3,S3X_1000606.2,S3X_1000606,1,0.24,0.0001,0.9,6.25
SM_220,1000606-DB4,S4X_1000606.2,S4X_1000606,1,0.24,0.0001,0.9,6.25
SM_221,1000606-DB5,S5X_1000606.2,S5X_1000606,1,0.24,0.0001,0.9,6.25
SM_222,1000606-DB6,S6X_1000606.2,S6X_1000606,1,0.24,0.0001,0.9,6.25
SM_223,1000606-DB7,S7X_1000606.2,S7X_1000606,1,0.24,0.0001,0.9,6.25
SM_224,1000606-DB8,S8X_1000606.2,S8X_1000606,1,0.24,0.0001,0.9,6.25
SM_225,1000606-DB9,S9X_1000606.2,S9X_1000606,1,0.24,0.0001,0.9,6.25
SM_226,1000606-DB10,S10X_1000606.2,S10X_1000606,1,0.24,0.0001,0.9,6.25
SM_227,1000606-DB11,S11X_1000606.2,S11X_1000606,1,0.24,0.0001,0.9,6.25
SM_228,1000606-DB12,S12X_1000606.2,S12X_1000606,1,0.24,0.0001,0.9,6.25
SM_229,1000607-DB1,S1X_1000607.2,S1X_1000607,1,0.24,0.0001,0.9,6.25
SM_230,1000607-DB2,S2X_1000607.2,S2X_1000607,1,0.24,0.0001,0.9,6.25
SM_231,1000607-DB3,S3X_1000607.2,S3X_1000607,1,0.24,0.0001,0.9,6.25
SM_232,1000607-DB4,S4X_1000607.2,S4X_1000607,1,0.24,0.0001,0.9,6.25
SM_233,1000607-DB5,S5X_1000607.2,S5X_1000607,1,0.24,0.0001,0.9,6.25
SM_234,1000607-DB6,S6X_1000607.2,S6X_1000607,1,0.24,0.0001,0.9,6.25
SM_235,1000607-DB7,S7X_1000607.2,S7X_1000607,1,0.24,0.0001,0.9,6.25
SM_236,1000607-DB8,S8X_1000607.2,S8X_1000607,1,0.24,0.0001,0.9,6.25
SM_237,1001933-D1,S1X_1001933,S1X_1001933,3,0.208,0.0001,0.9,333.33
SM_238,1001933-D2,S2X_1001933,S2X_1001933,3,0.208,0.0001,0.9,333.33
SM_239,1001933-D3,S3X_1001933,S3X_1001933,3,0.208,0.0001,0.9,333.33
SM_240,1000198-DA1,S1X_1000198.1,S1X_1000198,1,0.24,0.0001,0.9,10
SM_241,1000548-DA1,S1X_1000548.1,S1X_1000548,1,0.24,0.0001,0.9,50
SM_242,1000069-D1,S1X_1000069,S1X_1000069,3,0.208,0.0001,0.9,50
SM_243,1000069-D2,S2X_1000069,S2X_1000069,3,0.208,0.0001,0.9,50
SM_244,1000069-D3,S3X_1000069,S3X_1000069,3,0.208,0.0001,0.9,50
SM_245,1000069-D4,S4X_1000069,S4X_1000069,3,0.208,0.0001,0.9,50
SM_246,1000069-D5,S5X_1000069,S5X_1000069,3,0.208,0.0001,0.9,50
SM_247,1000069-D6,S6X_1000069,S6X_1000069,3,0.208,0.0001,0.9,50
SM_248,1000531-DA1,S1X_1000531.1,S1X_1000531,1,0.24,0.0001,0.9,6.818182
SM_249,1000531-DA2,S2X_1000531.1,S2X_1000531,1,0.24,0.0001,0.9,6.818182
SM_250,1000531-DA3,S3X_1000531.1,S3X_1000531,1,0.24,0.0001,0.9,6.818182
SM_251,1000531-DA4,S4X_1000531.1,S4X_1000531,1,0.24,0.0001,0.9,6.818182
SM_252,1000531-DA5,S5X_1000531.1,S5X_1000531,1,0.24,0.0001,0.9,6.818182
SM_253,1000531-DA6,S6X_1000531.1,S6X_1000531,1,0.24,0.0001,0.9,6.818182
SM_254,1000531-DA7,S7X_1000531.1,S7X_1000531,1,0.24,0.0001,0.9,6.818182
SM_255,1000531-DA8,S8X_1000531.1,S8X_1000531,1,0.24,0.0001,0.9,6.818182
SM_256,1000531-DA9,S9X_1000531.1,S9X_1000531,1,0.24,0.0001,0.9,6.818182
SM_257,1000531-DA10,S10X_1000531.1,S10X_1000531,1,0.24,0.0001,0.9,6.818182
SM_258,1000531-DA11,S11X_1000531.1,S11X_1000531,1,0.24,0.0001,0.9,6.818182
SM_259,1000533-DA1,S1X_1000533.1,S1X_1000533,1,0.24,0.0001,0.9,6.818182
SM_260,1000533-DA2,S2X_1000533.1,S2X_1000533,1,0.24,0.0001,0.9,6.818182
SM_261,1000533-DA3,S3X_1000533.1,S3X_1000533,1,0.24,0.0001,0.9,6.818182
SM_262,1000533-DA4,S4X_1000533.1,S4X_1000533,1,0.24,0.0001,0.9,6.818182
SM_263,1000533-DA5,S5X_1000533.1,S5X_1000533,1,0.24,0.0001,0.9,6.818182
SM_264,1000533-DA6,S6X_1000533.1,S6X_1000533,1,0.24,0.0001,0.9,6.818182
SM_265,1000533-DA7,S7X_1000533.1,S7X_1000533,1,0.24,0.0001,0.9,6.818182
SM_266,1000533-DA8,S8X_1000533.1,S8X_1000533,1,0.24,0.0001,0.9,6.818182
SM_267,1000533-DA9,S9X_1000533.1,S9X_1000533,1,0.24,0.0001,0.9,6.818182
SM_268,1000533-DA10,S10X_1000533.1,S10X_1000533,1,0.24,0.0001,0.9,6.818182
SM_269,1000533-DA11,S11X_1000533.1,S11X_1000533,1,0.24,0.0001,0.9,6.818182
SM_270,1000532-DA1,S1X_1000532.1,S1X_1000532,1,0.24,0.0001,0.9,9.090909
SM_271,1000532-DA2,S2X_1000532.1,S2X_1000532,1,0.24,0.0001,0.9,9.090909
SM_272,1000532-DA3,S3X_1000532.1,S3X_1000532,1,0.24,0.0001,0.9,9.090909
SM_273,1000532-DA4,S4X_1000532.1,S4X_1000532,1,0.24,0.0001,0.9,9.090909
SM_274,1000532-DA5,S5X_1000532.1,S5X_1000532,1,0.24,0.0001,0.9,9.090909
SM_275,1000532-DA6,S6X_1000532.1,S6X_1000532,1,0.24,0.0001,0.9,9.090909
SM_276,1000532-DA7,S7X_1000532.1,S7X_1000532,1,0.24,0.0001,0.9,9.090909
SM_277,1000532-DA8,S8X_1000532.1,S8X_1000532,1,0.24,0.0001,0.9,9.090909
SM_278,1000532-DA9,S9X_1000532.1,S9X_1000532,1,0.24,0.0001,0.9,9.090909
SM_279,1000532-DA10,S10X_1000532.1,S10X_1000532,1,0.24,0.0001,0.9,9.090909
SM_280,1000532-DA11,S11X_1000532.1,S11X_1000532,1,0.24,0.0001,0.9,9.090909
SM_281,1000582-DA1,S1X_1000582.1,S1X_1000582,1,0.24,0.0001,0.9,7.142857
