sample_id,load_level,time_of_day,cap_CP_NR_613,cap_CP_85W_900,converged,RFI1_A,RFI1_B,RFI1_C,RFI2_A,RFI2_B,RFI2_C,RFI3_A,RFI3_B,RFI3_C,RFI4_A,RFI4_B,RFI4_C,RFI5_A,RFI5_B,RFI5_C,RFI6_A,RFI6_B,RFI6_C,RFI7_A,RFI7_B,RFI7_C,RFI8_A,RFI8_B,RFI8_C,RFI9_A,RFI9_B,RFI9_C,RFI10_A,RFI10_B,RFI10_C,RFI11_A,RFI11_B,RFI11_C,RFI12_A,RFI12_B,RFI12_C,RFI13_A,RFI13_B,RFI13_C,RFI14_A,RFI14_B,RFI14_C,RFI15_A,RFI15_B,RFI15_C,RFI16_A,RFI16_B,RFI16_C,RFI17_A,RFI17_B,RFI17_C,RFI18_A,RFI18_B,RFI18_C,RFI19_A,RFI19_B,RFI19_C,RFI20_A,RFI20_B,RFI20_C
N0243,1.0,peak,True,True,True,969.7630074476776,1021.6198561235893,995.8823077550221,828.5113866751163,878.8647351296355,854.4596893731683,828.5113867416176,881.8221426539898,854.4596894387986,409.08964307732145,463.3241958619374,427.9579403960113,369.4053746756812,406.40358167936444,371.27637970990475,117.57793086006674,118.28246228562837,122.79351494811787,36.66375522445235,36.78103634046596,36.60499073625164,184.85023645004392,173.05814130646033,179.7508381009379,189.37499359553607,179.15018224591188,185.33366901947267,120.72695826367162,111.58856225795391,116.5253689609476,123.33916495639573,114.05061265091821,119.06338606623694,24.986925200582267,25.081996375976793,30.550712018414586,11.097339863717467,11.168899781754027,11.099323768360545,29.447527926544687,29.495565635169125,29.449332662407308,118.73347813100361,118.08084518516429,118.97051897293852,47.81884074816918,45.769122875580805,48.53443388556684,63.85936110130317,68.18870950322827,55.54592858223315,52.80640655591173,57.10916474389003,44.453082582525326,76.08816451052127,78.79072732637118,77.77533011164803,7.80386204599311e-08,7.897189284631701e-08,7.701051723507381e-08
N0244,1.0,peak,True,True,True,969.7616533020433,1021.619422264145,995.8815231916356,828.5101885273981,878.8644349127137,854.4590392278576,828.510188594056,881.8218404021897,854.459039293085,409.0890016911542,463.3241635686847,427.9576787432825,369.4047887158069,406.40358054067775,371.27617036302655,117.57778960800434,118.2824459747559,122.79345389681079,36.66374515223965,36.78102300429823,36.60497910758271,184.8500252349459,173.05814700344354,179.7507674614484,189.37477349401388,179.15018824653316,185.3335924270043,120.72681441261449,111.58857056774379,116.52532213595376,123.3390191268693,114.05062089780779,119.06333846255903,24.986922097739907,25.08199288048502,30.55070909008987,11.097338766146057,11.168897917013021,11.099322763523311,29.44751712693667,29.4955542298823,29.449321426057246,118.73332056766098,118.08076397043699,118.97040627046648,47.81877573505239,45.76912339570332,48.534409901648004,63.859341991339335,68.18870500021161,55.54591915428621,52.80638931584064,57.10916267491479,44.453075213414216,76.08816601533347,78.79072093011395,77.77534883984413,7.808259704814321e-08,7.8814125355191e-08,7.724334250779923e-08
N0245,0.75,afternoon,False,True,True,1072.157589699169,1112.1346654129793,1090.627082849009,931.149380211757,970.2829537340305,949.5398510004034,931.1493802702447,972.5539247284315,949.5398510574845,495.96931937189373,539.1418169664825,509.39207659583633,450.27403507225824,479.4974316997494,449.8002353794898,121.53862104321338,122.05833904988083,125.37860185031361,27.73590522736839,27.81172114795217,27.694082037459147,189.0325769107851,180.08459064700705,184.99549302001603,191.69236320120103,183.8722303840102,188.43738024716,123.53377432441654,116.45776257627658,120.17055408703276,125.52747563785498,118.37220930456324,122.12394995816018,18.932202154089506,19.016425510949997,23.14957210726595,8.407182723490617,8.475425367056689,8.408099303368862,22.266907783171916,22.298438066064474,22.26785189448841,123.36322576549816,122.83545904242837,123.46389439661016,52.060200164521454,50.23616118320013,52.46806966908189,48.388771318337035,51.684762614230536,42.10457502532595,40.02105368954672,43.29994471663627,33.69344303852264,45.134857492457904,46.24631046740015,45.92090915351526,8.057765657372168e-08,8.118135157727174e-08,7.983146210996138e-08
N0246,0.5,morning,False,False,True,1181.3064144466825,1208.1442251129286,1193.158463515869,1040.6730556889572,1067.0519591411457,1052.4965845751997,1040.6730557422634,1068.5810174530677,1052.4965846273403,588.972575028858,618.1265360570918,597.5959734429484,535.9654975503514,555.4692352264155,535.0268384261683,126.47185300555562,126.81970049016411,129.01599353864214,18.74614441343131,18.783575604947984,18.72303686732439,195.68885307254112,190.3532394642709,193.3974363157993,195.69489574563804,190.3588680606546,193.39743679140628,127.49233783865138,122.61189001062554,125.12204395280787,128.8534349400607,123.94023883868113,126.46608324922059,12.793093483156923,12.865538979182558,15.644574883891504,5.679780997717094,5.744315320776,5.679886312191276,15.03056615632855,15.046263756935684,15.030657922369237,128.93143934454156,128.55822460251264,128.9613577481808,57.13037147559086,55.758169659765784,57.33305532968527,32.72681208642046,34.97000311095719,28.495099856253674,27.075612288724944,29.310602893164642,22.797307979624463,37.11281202118424,37.4141451680242,37.7025805057282,8.233660869752442e-08,8.29834959498202e-08,8.170052250874368e-08
N0247,1.0,peak,True,True,True,969.7630228279777,1021.6198659664474,995.8822901780887,828.5114020693892,878.8647436711499,854.4596721098568,828.5114021357342,881.8221512415146,854.4596721735746,409.0896569879645,463.32420004096775,427.95792670334794,369.4053884330917,406.40358518818664,371.2763667531367,117.57793172739625,118.28246388893162,122.79351300184399,36.663755184135226,36.78103645461586,36.604990754707565,184.85023807638964,173.05814366335537,179.7508347992994,189.37499523333528,179.1501846678612,185.33366569497147,120.72695936886555,111.58856380850621,116.52536676634628,123.33916607901945,114.05061422765633,119.06338383556017,24.986925128176132,25.081996496176302,30.55071195070777,11.097339822094822,11.1688998346417,11.099323769489274,29.44752790110284,29.495565706096475,29.449332699025792,118.73347850903572,118.08084626135856,118.97051838380034,47.818841187033286,45.76912357279033,48.53443295103983,63.85936118644844,68.18870983839616,55.54592833485833,52.80640667159712,57.109165034608274,44.453082331318505,76.08816281988756,78.79071994202697,77.77533906746535,7.791502314037096e-08,7.901518988849174e-08,7.712655646745692e-08
N0248,0.5,morning,False,False,True,1181.3066664190637,1208.1467268745948,1193.156654377886,1040.6732896089443,1067.0544802823115,1052.4946692202752,1040.6732896637918,1068.5835385900775,1052.4946692733822,588.9725516701078,618.1285501334598,597.5943957271049,535.9654406082778,555.471153143398,535.0253373016201,126.47184094231068,126.82003642801423,129.0157342248072,18.746144437030324,18.783573385023153,18.723041018342396,195.6888232863278,190.3539093683105,193.39690191402664,195.69486597250832,190.35953796031035,193.39690238963186,127.49231077688944,122.6123432224365,125.12168354141929,128.85340821608588,123.94069441801115,126.46572050393222,12.79309530730683,12.86553466042505,15.644572985058833,5.679781831756165,5.744312575682838,5.679887564906041,15.03056887710494,15.046262544006693,15.030661058059694,128.93151717582245,128.5583621782959,128.96126900696015,57.1303639087125,55.758342033000545,57.332919911850226,32.72681645190923,34.97001662723093,28.495088079587525,27.075615956500073,29.310618119804264,22.797295019581156,37.11279489742223,37.41427564033151,37.702457282120875,8.227930957820968e-08,8.288940324895408e-08,8.181639084661408e-08
N0249,1.0,peak,True,True,True,969.7630228284381,1021.6198659676722,995.8822901789481,828.5114020697523,878.8647436704905,854.4596721101041,828.5114021363183,881.8221512421461,854.4596721743442,409.0896569882132,463.32420004174963,427.9579267035578,369.40538843325027,406.40358518888644,371.27636675335305,117.57793172758055,118.28246388925238,122.79351300163202,36.66375518433538,36.781036455150456,36.604990754865604,184.8502380764617,173.05814366354693,179.75083479940386,189.37499523341043,179.15018466809326,185.33366569509806,120.72695936890089,111.58856380858016,116.52536676641407,123.33916607905525,114.0506142278065,119.0633838356351,24.986925128207183,25.081996496202706,30.550711950750117,11.097339822100842,11.168899834660467,11.099323769505526,29.44752790110645,29.495565706112014,29.449332699048473,118.73347850919812,118.08084626066919,118.97051838375133,47.81884118703122,45.769123572840556,48.53443295106914,63.85936118646867,68.1887098384083,55.54592833486173,52.80640667157603,57.109165034669694,44.45308233132491,76.08816281979996,78.79071994206288,77.77533906736065,7.789116119047658e-08,7.889241760001963e-08,7.730154883103587e-08
N0250,0.5,morning,False,False,True,1181.3066664233995,1208.1467268753188,1193.156654378132,1040.6732896107562,1067.0544802838087,1052.4946692221288,1040.6732896638105,1068.5835385922944,1052.49466927379,588.9725516703587,618.128550134308,597.5943957272203,535.9654406085042,555.4711531442177,535.0253373017445,126.47184094244506,126.82003642813542,129.01573422435524,18.746144437067866,18.78357338508454,18.72304101798377,195.68882328643207,190.35390936856254,193.39690191407203,195.6948659725417,190.35953796061128,193.39690238969396,127.49231077696638,122.61234322258879,125.12168354149928,128.85340821612695,123.94069441817251,126.46572050398883,12.793095307289663,12.865534660421371,15.644572985042586,5.6797818317428375,5.744312575653358,5.679887564906041,15.030568877092248,15.046262544012782,15.030661058056408,128.93151717548002,128.55836217830046,128.96126900731463,57.13036390872545,55.75834203304034,57.33291991185432,32.72681645192729,34.9700166272337,28.495088079557952,27.07561595649735,29.310618119755937,22.797295019601975,37.112794897259484,37.41427564037675,37.70245728214812,8.226740300665791e-08,8.309272580177339e-08,8.180520900284925e-08
N0251,0.2,overnight,False,False,True,1294.6702207364392,1305.7883496125955,1299.0339145746793,1153.323996763225,1164.3633490831699,1157.6971085480832,1153.3239967991515,1165.023841821244,1157.697108583604,678.9518796417307,691.7523649398736,682.146027553635,616.4514845744887,624.9178876333754,615.258555671349,131.80529444474655,131.93920177664845,132.79434874504926,7.828651531350853,7.836037934794377,7.824184069969363,198.89857049734687,196.67862067812763,197.89963267552247,198.90600403440504,196.68588913978337,197.89963301643235,131.2526692967292,129.2044753689439,130.22771214626675,131.81816496297662,129.76711696315365,130.79062209240604,5.095810351618911,5.16111888203326,6.238358458191082,2.2593392125917493,2.322221645441438,2.260169343450342,6.26423443902678,6.267370413801673,6.264363607817719,135.39400019000726,135.23484410879917,135.38030829675137,63.39603900770809,62.7811099625171,63.43396420133401,13.021272888001734,13.971225886432453,11.370905049855029,10.793885670674927,11.741698844661476,9.091587420553402,50.565497861768065,50.330175574166155,50.364678826120794,8.552616320825978e-08,8.60372742900404e-08,8.49870122005272e-08
N0252,0.2,overnight,False,False,True,1294.6634809578757,1305.7917171104707,1299.036163039502,1153.3172549169856,1164.3668509373822,1157.6994760278478,1153.3172549525937,1165.0273435593506,1157.699476063772,678.946799171146,691.7551612609747,682.1484160516707,616.4466922783577,624.9205400856575,615.2609266321037,131.80447852387383,131.9396438087926,132.79473902799032,7.8286545065903095,7.836037183596863,7.824180801833034,198.8969870198852,196.67952067481525,197.90046580668354,198.90442056223475,196.68678915016926,197.90046614758145,131.2516059949585,129.20508070177425,130.22829180781017,131.81710148301477,129.76772295488522,130.79120075036423,5.0958104060161675,5.1611170999470835,6.238358888794882,2.259339385783129,2.32222048018425,2.2601701642226666,6.2642345434145055,6.267369262791684,6.264360318326739,135.39353705007824,135.23503414759,135.38028412071185,63.395627426437684,62.78133297692863,63.434164058352444,13.02126993721568,13.971232095292297,11.370901824357805,10.793882563007099,11.741706190691891,9.091583578125887,50.56499372385952,50.3304479144669,50.36493276655838,8.557298578941527e-08,8.59753476295908e-08,8.49870122005272e-08
N0253,0.5,morning,False,False,True,1181.3046715340197,1208.1471525310528,1193.1579532112137,1040.671252686443,1067.0549578717942,1052.4960193116676,1040.6712527397056,1068.5840161323802,1052.4960193638092,588.9709748238381,618.1288945831199,597.5956100091245,535.9639431766592,555.4714676040667,535.0265171842555,126.47157922128197,126.82008437399793,129.01594313570945,18.746146993490928,18.78357307795406,18.723038445840064,195.68828507920801,190.35401490401506,193.39733257046484,195.69432776514782,190.35964350309072,193.39733304607893,127.49194708925641,122.61241062893025,125.12197916559444,128.85304241418393,123.94076264121286,126.46601752343024,12.793097692253333,12.865536474487664,15.644571661155117,5.679783651263419,5.744313226274387,5.67988566369812,15.030569801615602,15.046262365576082,15.030658064375427,128.9313916390285,128.55840016315582,128.96129945342616,57.13022700518847,55.75836645174298,57.33302890175524,32.7268032605557,34.970024547904096,28.495092853099028,27.075601537836345,29.310625744958948,22.797301230800834,37.112686134723745,37.41429402352929,37.70255698619314,8.224476296258695e-08,8.29712230619303e-08,8.177554900627679e-08
N0254,0.75,afternoon,False,True,True,1072.1579617579027,1112.1400584412859,1090.629322520248,931.1493113825736,970.2881407933443,949.5415054218059,931.1493114413793,972.5591156517029,949.5415054798995,495.96832446837124,539.1454528967931,509.3926067090031,450.27295428514566,479.50080441394755,449.80063551720843,121.53848453550383,122.05898911490557,125.37880975802948,27.73592668498122,27.811739734119506,27.694114354770452,189.03214011217818,180.0857742046448,184.99563685098428,191.6918950826127,183.87345934878948,188.437529653001,123.53343353142776,116.45857694941832,120.17064211396098,125.52713267373721,118.37303258660891,122.12403935747352,18.932222752736756,19.016421102118287,23.14958299431287,8.407193924980705,8.475420872743891,8.408104331881665,22.2669367181473,22.298452923596013,22.26787640917814,123.36351184880776,122.83589747725021,123.46421149033435,52.06011082337456,50.23647502711291,52.46814859896345,48.38877497330399,51.684829007449906,42.10459575899045,40.0210479633739,43.300011345282435,33.69345756692376,45.134824001957,46.2462552410738,45.92096853070689,8.056542229596949e-08,8.113898566763131e-08,7.98896064068906e-08
N0255,0.5,morning,False,False,True,1181.3064144467517,1208.144225106137,1193.1584635175852,1040.6730556880977,1067.051959135722,1052.4965845779607,1040.6730557410563,1068.5810174487829,1052.4965846309908,588.9725750283197,618.1265360534854,597.5959734462849,535.9654975499409,555.469235222981,535.0268384293007,126.47185300555687,126.81970048941209,129.01599353886814,18.746144413409294,18.78357560480014,18.723036867180305,195.68885307243448,190.35323946302594,193.3974363168847,195.6948957454901,190.35886805947914,193.39743679250913,127.49233783864119,122.61189000987964,125.12204395351532,128.85343494001742,123.94023883784826,126.46608324999112,12.793093483133394,12.865538979162412,15.644574883921093,5.679780997725738,5.744315320784734,5.679886312194192,15.030566156331716,15.046263756938318,15.030657922375477,128.93143934432211,128.5582246021707,128.96135774830435,57.13037147552936,55.75816965945283,57.33305532998712,32.7268120863739,34.97000311099978,28.495099856304034,27.07561228873607,29.31060289311684,22.797307979679434,37.11281202124768,37.41414516778039,37.70258050598745,8.232996563644027e-08,8.294134175760791e-08,8.187432559748738e-08
N0256,1.0,peak,True,True,True,969.7630228274031,1021.6198659664116,995.882290177558,828.5114020687729,878.8647436696226,854.4596721094745,828.5114021355985,881.822151241209,854.4596721743621,409.08965698777627,463.3242000411938,427.9579267034289,369.405388432852,406.40358518835933,371.2763667531489,117.57793172721749,118.28246388912974,122.793513001627,36.66375518406315,36.781036454629486,36.604990754812924,184.85023807630532,173.0581436633538,179.75083479932684,189.37499523325303,179.15018466791756,185.3336656950782,120.72695936889427,111.58856380857462,116.52536676643018,123.3391660789644,114.05061422770105,119.0633838355948,24.986925128198916,25.081996496212344,30.550711950756455,11.097339822116066,11.168899834648363,11.099323769482769,29.44752790109836,29.495565706104227,29.44933269904572,118.73347850903741,118.08084626086641,118.97051838411511,47.81884118697168,45.76912357280739,48.53443295103326,63.85936118645176,68.18870983836565,55.54592833485833,52.8064066715459,57.10916503464726,44.45308233134759,76.08816281982814,78.79071994207489,77.77533906755234,7.783250443816062e-08,7.883579985864634e-08,7.706834986827417e-08
N0257,0.5,morning,False,False,True,1181.3066664210023,1208.1467268725396,1193.1566543778695,1040.673289608739,1067.0544802811585,1052.4946692189144,1040.6732896633666,1068.5835385898488,1052.4946692725766,588.9725516698633,618.1285501331519,597.5943957273474,535.9654406080708,555.4711531431601,535.0253373018326,126.47184094227687,126.82003642788939,129.01573422475025,18.746144436719533,18.78357338531589,18.723041018235126,195.68882328630653,190.353909368241,193.39690191408792,195.69486597240424,190.3595379602203,193.39690238966784,127.49231077680955,122.61234322230207,125.12168354138721,128.853408216041,123.9406944179393,126.46572050400522,12.79309530730286,12.865534660401577,15.644572985039684,5.679781831738741,5.744312575697843,5.679887564908957,15.030568877108477,15.046262543992103,15.03066105806142,128.9315171753627,128.5583621780897,128.96126900593836,57.13036390867315,55.75834203295377,57.33291991184855,32.72681645189648,34.970016627206384,28.49508807957581,27.075615956537142,29.310618119753926,22.797295019593218,37.11279489746761,37.41427564030386,37.70245728220259,8.215203159147135e-08,8.289041490722118e-08,8.171188453598482e-08
